,invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
0,I138884,C241288,Clothing,5,1500.4,05-08-2022,Kanyon
1,I317333,C111565,Shoes,3,1800.51,12-12-2021,Forum Istanbul
2,I127801,C266599,Clothing,1,300.08,09-11-2021,Metrocity
3,I173702,C988172,Shoes,5,3000.85,16-05-2021,Metropol AVM
4,I337046,C189076,Books,4,60.6,24-10-2021,Kanyon
5,I227836,C657758,Clothing,5,1500.4,24-05-2022,Forum Istanbul
6,I121056,C151197,Cosmetics,1,40.66,13-03-2022,Istinye Park
7,I293112,C176086,Clothing,2,600.16,13-01-2021,Mall of Istanbul
8,I293455,C159642,Clothing,3,900.24,04-11-2021,Metrocity
9,I326945,C283361,Clothing,2,600.16,22-08-2021,Kanyon
10,I306368,C240286,Food & Beverage,2,10.46,25-12-2022,Metrocity
11,I139207,C191708,Books,1,15.15,28-10-2022,Emaar Square Mall
12,I640508,C225330,Toys,4,143.36,31-07-2022,Metrocity
13,I179802,C312861,Clothing,2,600.16,17-11-2022,Cevahir AVM
14,I336189,C555402,Clothing,2,600.16,03-06-2022,Kanyon
15,I688768,C362288,Shoes,5,3000.85,07-11-2021,Viaport Outlet
16,I294687,C300786,Books,2,30.3,16-01-2021,Metrocity
17,I195744,C330667,Food & Beverage,3,15.69,05-01-2022,Zorlu Center
18,I993048,C218149,Clothing,2,600.16,26-07-2021,Metropol AVM
19,I992454,C196845,Toys,4,143.36,07-03-2023,Cevahir AVM
20,I183746,C220180,Clothing,1,300.08,15-02-2023,Emaar Square Mall
21,I412481,C125696,Food & Beverage,1,5.23,01-05-2021,Cevahir AVM
22,I823067,C322947,Clothing,2,600.16,18-06-2022,Cevahir AVM
23,I252275,C313348,Technology,5,5250.0,26-10-2021,Kanyon
24,I174250,C204553,Books,5,75.75,16-12-2022,Metrocity
25,I195396,C285161,Toys,2,71.68,16-05-2021,Istinye Park
26,I196704,C289625,Cosmetics,5,203.3,20-04-2022,Mall of Istanbul
27,I217053,C192344,Shoes,4,2400.68,10-10-2022,Emaar Square Mall
28,I655874,C447138,Shoes,3,1800.51,23-08-2022,Cevahir AVM
29,I209744,C251229,Cosmetics,3,121.98,29-04-2021,Istinye Park
30,I161949,C159164,Toys,3,107.52,04-07-2022,Mall of Istanbul
31,I331891,C501658,Clothing,1,300.08,21-11-2021,Emaar Square Mall
32,I768348,C176727,Shoes,3,1800.51,23-02-2022,Kanyon
33,I109053,C232624,Clothing,4,1200.32,11-07-2021,Metrocity
34,I167211,C164092,Shoes,4,2400.68,30-08-2022,Zorlu Center
35,I339732,C276887,Food & Beverage,1,5.23,04-01-2023,Emaar Square Mall
36,I147062,C245456,Clothing,5,1500.4,21-06-2022,Kanyon
37,I187519,C450287,Clothing,2,600.16,08-07-2022,Metrocity
38,I106674,C204279,Clothing,2,600.16,27-02-2022,Kanyon
39,I473411,C452806,Clothing,1,300.08,19-12-2022,Metropol AVM
40,I246550,C716788,Food & Beverage,3,15.69,10-09-2021,Zorlu Center
41,I138674,C155059,Cosmetics,2,81.32,14-02-2022,Metropol AVM
42,I752693,C306662,Cosmetics,3,121.98,28-04-2022,Metrocity
43,I826174,C607615,Shoes,4,2400.68,20-06-2022,Metrocity
44,I296025,C120164,Shoes,3,1800.51,21-04-2022,Kanyon
45,I117291,C134449,Books,5,75.75,09-12-2022,Zorlu Center
46,I267193,C317818,Cosmetics,3,121.98,12-01-2023,Mall of Istanbul
47,I205366,C241642,Clothing,4,1200.32,07-11-2022,Zorlu Center
48,I269690,C126436,Cosmetics,3,121.98,07-02-2022,Zorlu Center
49,I304265,C653385,Books,5,75.75,13-06-2021,Forum Istanbul
50,I246562,C227070,Cosmetics,5,203.3,23-08-2021,Emaar Square Mall
51,I202367,C317478,Books,3,45.45,24-02-2023,Istinye Park
52,I664787,C237330,Cosmetics,2,81.32,12-01-2023,Istinye Park
53,I160777,C626042,Technology,4,4200.0,22-02-2022,Metrocity
54,I137794,C133687,Food & Beverage,3,15.69,12-03-2021,Viaport Outlet
55,I148377,C841663,Clothing,1,300.08,02-01-2022,Istinye Park
56,I258195,C213742,Toys,2,71.68,26-11-2021,Kanyon
57,I300213,C962515,Clothing,4,1200.32,21-04-2021,Kanyon
58,I263803,C112279,Food & Beverage,3,15.69,23-06-2021,Kanyon
59,I335713,C158837,Books,4,60.6,14-12-2021,Kanyon
60,I133061,C336576,Clothing,5,1500.4,09-06-2022,Mall of Istanbul
61,I207205,C716161,Clothing,1,300.08,26-11-2021,Kanyon
62,I209289,C439382,Clothing,4,1200.32,05-02-2021,Kanyon
63,I157285,C123427,Clothing,4,1200.32,06-03-2022,Mall of Istanbul
64,I218590,C224743,Cosmetics,4,162.64,09-05-2022,Metropol AVM
65,I181109,C119549,Toys,3,107.52,17-10-2022,Mall of Istanbul
66,I221715,C187266,Food & Beverage,3,15.69,22-01-2022,Cevahir AVM
67,I204979,C173084,Souvenir,5,58.65,14-03-2021,Istinye Park
68,I115146,C126956,Cosmetics,5,203.3,27-04-2022,Metrocity
69,I883721,C236859,Technology,5,5250.0,19-11-2021,Mall of Istanbul
70,I402376,C309926,Shoes,5,3000.85,10-09-2022,Forum Istanbul
71,I251356,C493252,Cosmetics,4,162.64,04-09-2021,Kanyon
72,I292239,C109871,Food & Beverage,5,26.15,21-08-2022,Mall of Istanbul
73,I276526,C136117,Shoes,5,3000.85,02-10-2021,Emaar Square Mall
74,I260525,C258404,Toys,3,107.52,07-01-2023,Emaar Square Mall
75,I870944,C169749,Souvenir,3,35.19,08-06-2021,Cevahir AVM
76,I739573,C199947,Clothing,5,1500.4,17-04-2021,Kanyon
77,I115870,C135790,Shoes,4,2400.68,04-09-2021,Metrocity
78,I190444,C606418,Food & Beverage,5,26.15,20-07-2022,Mall of Istanbul
79,I309552,C111611,Food & Beverage,4,20.92,14-07-2021,Istinye Park
80,I306076,C679476,Toys,2,71.68,01-11-2022,Emaar Square Mall
81,I321683,C542025,Cosmetics,4,162.64,06-01-2023,Metrocity
82,I151332,C168491,Souvenir,2,23.46,25-03-2021,Kanyon
83,I340014,C169650,Clothing,2,600.16,08-09-2022,Istinye Park
84,I249424,C158160,Food & Beverage,1,5.23,18-02-2022,Mall of Istanbul
85,I227716,C552345,Food & Beverage,2,10.46,22-04-2021,Kanyon
86,I140663,C218383,Clothing,5,1500.4,15-10-2022,Zorlu Center
87,I253242,C309438,Shoes,5,3000.85,07-04-2022,Mall of Istanbul
88,I108359,C253905,Food & Beverage,1,5.23,07-06-2022,Mall of Istanbul
89,I195567,C992677,Clothing,4,1200.32,22-01-2023,Metropol AVM
90,I289643,C584700,Technology,2,2100.0,22-08-2022,Kanyon
91,I722319,C157070,Toys,1,35.84,03-10-2021,Kanyon
92,I317105,C177975,Souvenir,5,58.65,29-07-2021,Kanyon
93,I215721,C830576,Cosmetics,2,81.32,16-12-2022,Metrocity
94,I154469,C807389,Toys,3,107.52,03-06-2021,Mall of Istanbul
95,I172458,C277842,Clothing,2,600.16,17-12-2021,Cevahir AVM
96,I297270,C183011,Clothing,5,1500.4,31-12-2022,Metropol AVM
97,I153930,C567813,Food & Beverage,3,15.69,09-08-2022,Forum Istanbul
98,I282854,C282974,Clothing,3,900.24,31-07-2022,Kanyon
99,I869144,C181972,Food & Beverage,4,20.92,04-05-2021,Mall of Istanbul
100,I283443,C189493,Technology,3,3150.0,25-05-2022,Viaport Outlet
101,I193271,C242748,Food & Beverage,3,15.69,23-12-2022,Kanyon
102,I985478,C324683,Clothing,4,1200.32,24-01-2023,Kanyon
103,I200392,C307921,Clothing,5,1500.4,14-09-2021,Viaport Outlet
104,I256691,C152549,Cosmetics,1,40.66,04-02-2022,Metrocity
105,I796162,C111832,Food & Beverage,5,26.15,06-01-2022,Metrocity
106,I224371,C204174,Clothing,5,1500.4,01-02-2022,Mall of Istanbul
107,I215998,C279370,Clothing,5,1500.4,26-10-2022,Cevahir AVM
